TEMPLATES BROWSER WRAPP BOOTSTRAP
-----------------------------------------
ADMIN TEMPLATES: 		133
BUSINESS & CORPORATE: 		176
LANDING PAGES: 			128
PORTFOLIO AND RESUMES: 		 94
ECOMMERCE: 			 42
BLOG AND MAGAZINES: 		 28
UI COMPONENTS:			  9 
OTHER TEMPLATES:		 97
WORDPRESS			 22

TOTAL				--------
 				729 
 
